City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Havoysund,NO,2020-06-14 01:59:33,71.0,24.66,57.2,50,100,10.29
202,Bindura,ZW,2020-06-14 01:59:33,-17.3,31.33,54.18,66,71,3.33
203,Vila Velha,BR,2020-06-14 01:59:33,-20.33,-40.29,73.4,83,0,6.93
204,Olafsvik,IS,2020-06-14 01:59:33,64.89,-23.71,44.82,86,100,18.37
205,Moindou,NC,2020-06-14 01:59:33,-21.69,165.68,78.8,57,90,9.17
206,Elizabeth City,US,2020-06-14 01:59:34,36.29,-76.25,69.8,73,90,10.29
207,San Carlos De Bariloche,AR,2020-06-14 01:56:45,-41.15,-71.31,33.8,86,40,4.7
208,Susanville,US,2020-06-14 01:59:34,40.42,-120.65,59.0,38,40,13.87
209,Araouane,ML,2020-06-14 01:59:34,18.9,-3.53,95.49,17,11,3.15
210,Mount Abu,IN,2020-06-14 01:59:34,24.59,72.71,75.96,76,84,3.0
211,Verkhnyaya Inta,RU,2020-06-14 01:59:35,65.98,60.31,44.35,73,100,18.14
212,Whitehorse,CA,2020-06-14 01:59:36,60.72,-135.05,62.6,59,75,3.36
213,Hervey Bay,AU,2020-06-14 01:57:25,-25.3,152.85,78.01,78,75,14.99
214,Vestmannaeyjar,IS,2020-06-14 01:59:36,63.44,-20.27,46.22,79,50,8.97
215,Karcsa,HU,2020-06-14 01:59:36,48.31,21.81,71.6,78,0,12.75
216,Aksarka,RU,2020-06-14 01:59:36,66.56,67.8,48.47,62,98,16.6
217,Port Lincoln,AU,2020-06-14 01:59:37,-34.73,135.87,60.67,74,100,22.08
218,Jibuti,DJ,2020-06-14 01:56:57,11.5,42.5,86.63,35,100,4.56
219,Okhotsk,RU,2020-06-14 01:59:37,59.38,143.3,58.32,62,0,7.36
220,Constitucion,CL,2020-06-14 01:59:37,-35.33,-72.42,48.58,56,0,6.29
221,Stepnyak,KZ,2020-06-14 01:59:37,52.83,70.78,48.99,61,19,12.86
222,Filadelfia,US,2020-06-14 01:55:44,39.95,-75.16,70.0,32,20,9.17
223,Khasan,RU,2020-06-14 01:59:38,42.43,130.64,68.79,77,26,4.03
224,Madimba,TZ,2020-06-14 01:59:38,-10.4,40.33,73.4,83,20,17.22
225,Zhangye,CN,2020-06-14 01:59:39,38.93,100.45,77.54,23,38,1.59
226,Porto Seguro,BR,2020-06-14 01:56:44,-16.45,-39.06,75.2,83,20,5.82
227,Quatre Cocos,MU,2020-06-14 01:59:39,-20.21,57.76,71.6,94,40,4.7
228,Starogard Gdanski,PL,2020-06-14 01:59:39,53.96,18.53,57.0,100,0,11.39
229,San Antonio,US,2020-06-14 01:57:18,29.42,-98.49,87.8,35,1,6.93
230,Fortuna,US,2020-06-14 01:58:41,40.6,-124.16,64.4,59,75,0.83
231,Bambous Virieux,MU,2020-06-14 01:59:40,-20.34,57.76,71.6,94,40,4.7
232,Malakal,SS,2020-06-14 01:59:41,9.53,31.66,78.21,72,8,3.47
233,Sao Filipe,CV,2020-06-14 01:59:41,14.9,-24.5,75.81,82,34,10.83
234,Sabalgarh,IN,2020-06-14 01:59:41,26.25,77.4,94.77,35,22,3.02
235,Benguela,AO,2020-06-14 01:59:41,-12.58,13.41,67.05,86,20,2.86
236,Kabalo,CD,2020-06-14 01:59:41,-6.05,26.92,66.88,50,0,3.98
237,Kulhudhuffushi,MV,2020-06-14 01:59:42,6.62,73.07,84.27,78,36,16.44
238,Vargashi,RU,2020-06-14 01:59:42,55.36,65.85,48.16,72,20,9.46
239,Roros,NO,2020-06-14 01:59:42,62.57,11.38,41.0,100,1,3.36
240,Touba,CI,2020-06-14 01:59:43,8.28,-7.68,69.8,96,86,4.32
241,Tiksi,RU,2020-06-14 01:59:43,71.69,128.87,32.41,96,100,6.53
242,Mangrol,IN,2020-06-14 01:59:43,21.12,70.12,86.76,75,100,7.58
243,Henties Bay,NA,2020-06-14 01:59:44,-22.12,14.28,67.48,30,0,14.81
244,Wenling,CN,2020-06-14 01:59:44,28.37,121.36,82.0,50,99,10.87
245,Kitimat,CA,2020-06-14 01:59:44,54.05,-128.65,57.99,70,69,1.99
246,Wichian Buri,TH,2020-06-14 01:59:44,15.66,101.11,83.93,78,93,6.62
247,Namibe,AO,2020-06-14 01:59:44,-15.2,12.15,68.63,65,0,4.97
248,Lippstadt,DE,2020-06-14 01:59:45,51.67,8.35,66.0,89,22,2.84
249,Sitka,US,2020-06-14 01:59:45,57.05,-135.33,53.6,87,90,4.7
250,Half Moon Bay,US,2020-06-14 01:59:45,37.46,-122.43,68.0,48,5,14.99
251,Luderitz,NA,2020-06-14 01:59:45,-26.65,15.16,51.8,40,0,5.82
252,Nortelandia,BR,2020-06-14 01:59:46,-14.45,-56.8,75.78,61,1,1.92
253,Ribas Do Rio Pardo,BR,2020-06-14 01:59:46,-20.44,-53.76,68.68,81,0,2.51
254,Adilabad,IN,2020-06-14 01:59:46,19.67,78.53,82.81,71,100,6.67
255,Marsh Harbour,BS,2020-06-14 01:59:46,26.54,-77.06,77.92,74,69,16.73
256,Mitsamiouli,KM,2020-06-14 01:59:47,-11.38,43.28,78.17,67,0,11.5
257,Ahipara,NZ,2020-06-14 01:59:47,-35.17,173.17,59.92,80,66,9.95
258,Makakilo City,US,2020-06-14 01:59:47,21.35,-158.09,87.8,38,1,13.87
259,Nisia Floresta,BR,2020-06-14 01:59:47,-6.09,-35.21,75.2,94,11,3.36
260,Touros,BR,2020-06-14 01:59:47,-5.2,-35.46,75.2,100,93,3.36
261,Bontang,ID,2020-06-14 01:59:48,0.13,117.5,84.04,71,100,2.51
262,Jiuquan,CN,2020-06-14 01:59:48,39.74,98.52,76.71,23,57,7.85
263,Skelleftea,SE,2020-06-14 01:59:48,64.75,20.95,55.4,71,40,3.36
264,Tabou,CI,2020-06-14 01:59:48,4.42,-7.35,78.1,86,100,12.41
265,Sao Gabriel Da Cachoeira,BR,2020-06-14 01:59:49,-0.13,-67.09,74.46,95,100,1.45
266,Abha,SA,2020-06-14 01:59:49,18.22,42.51,69.8,29,17,2.68
267,Tuktoyaktuk,CA,2020-06-14 01:59:49,69.45,-133.04,60.8,55,75,14.99
268,Geraldton,AU,2020-06-14 01:59:49,-28.77,114.6,59.0,67,9,13.87
269,Uyuni,BO,2020-06-14 01:59:50,-20.46,-66.83,43.66,65,0,5.19
270,Castro,BR,2020-06-14 01:59:50,-24.79,-50.01,58.51,95,100,3.49
271,Praia,CV,2020-06-14 01:59:50,14.92,-23.51,78.8,83,20,6.93
272,Narsaq,GL,2020-06-14 01:59:51,60.92,-46.05,42.8,87,100,8.05
273,Inuvik,CA,2020-06-14 01:57:02,68.35,-133.72,75.2,36,75,10.29
274,Port Hardy,CA,2020-06-14 01:57:44,50.7,-127.42,57.2,71,20,18.34
275,Berdigestyakh,RU,2020-06-14 01:59:51,62.1,126.7,64.92,53,74,7.25
276,Brusque,BR,2020-06-14 01:59:51,-27.1,-48.92,66.0,82,100,1.92
277,Eskisehir,TR,2020-06-14 01:59:52,39.78,30.52,51.8,100,40,3.18
278,Kavieng,PG,2020-06-14 01:59:52,-2.57,150.8,86.14,67,43,8.16
279,Kwinana,AU,2020-06-14 01:58:49,-32.25,115.77,61.0,100,90,8.05
280,Thinadhoo,MV,2020-06-14 01:59:52,0.53,72.93,84.45,69,74,13.69
281,Mount Barker,AU,2020-06-14 01:59:53,-35.07,138.87,55.0,90,100,11.01
282,Kandrian,PG,2020-06-14 01:59:53,-6.22,149.55,86.2,69,1,11.32
283,Torbay,CA,2020-06-14 01:59:53,47.67,-52.73,64.99,93,75,11.41
