City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,rainfall 1hr,snowfall 1hr,Date
75,Port Alfred,ZA,-33.59,26.89,60.01,85,37,1.99,scattered clouds,0.0,0.0,2020-06-14 19:27:30
76,Calabozo,VE,8.92,-67.43,86.81,69,37,6.89,light rain,0.53,0.0,2020-06-14 19:27:30
77,Hobart,AU,-42.88,147.33,55.0,66,45,8.05,scattered clouds,0.0,0.0,2020-06-14 19:26:54
78,Arraial Do Cabo,BR,-22.97,-42.03,73.4,83,90,10.29,light intensity drizzle,0.0,0.0,2020-06-14 19:27:31
79,Nouadhibou,MR,20.93,-17.03,100.4,22,0,23.04,sand,0.0,0.0,2020-06-14 19:27:31
80,Taitung,TW,22.76,121.14,81.46,75,0,6.44,clear sky,0.0,0.0,2020-06-14 19:27:31
81,Pauini,BR,-7.71,-66.98,81.52,72,100,4.83,overcast clouds,0.0,0.0,2020-06-14 19:23:29
82,Bluff,NZ,-46.6,168.33,39.0,83,98,3.0,overcast clouds,0.0,0.0,2020-06-14 19:26:58
83,Poum,NC,-20.23,164.02,74.08,76,8,19.48,clear sky,0.0,0.0,2020-06-14 19:24:29
84,Bardiyah,LY,31.76,25.09,72.32,68,0,11.95,clear sky,0.0,0.0,2020-06-14 19:27:32
85,Hasaki,JP,35.73,140.83,72.0,94,75,5.82,broken clouds,0.0,0.0,2020-06-14 19:27:32
86,Nome,US,64.5,-165.41,66.99,45,1,5.21,clear sky,0.0,0.0,2020-06-14 19:27:32
87,Whitehills,GB,57.67,-2.58,55.0,96,61,9.55,broken clouds,0.0,0.0,2020-06-14 19:26:11
88,Burnie,AU,-41.07,145.92,54.0,80,100,10.0,overcast clouds,0.0,0.0,2020-06-14 19:27:33
89,Ivanovka,KG,42.89,75.08,75.2,36,50,6.71,scattered clouds,0.0,0.0,2020-06-14 19:27:33
90,Lompoc,US,34.64,-120.46,70.0,56,0,18.34,clear sky,0.0,0.0,2020-06-14 19:26:16
91,Bambous Virieux,MU,-20.34,57.76,71.6,83,20,9.17,few clouds,0.0,0.0,2020-06-14 19:27:33
92,La Ronge,CA,55.1,-105.28,71.6,56,75,14.99,broken clouds,0.0,0.0,2020-06-14 19:27:34
93,Pangnirtung,CA,66.15,-65.71,39.2,69,75,14.99,broken clouds,0.0,0.0,2020-06-14 19:23:13
94,Neosho,US,36.87,-94.37,90.0,44,0,1.01,clear sky,0.0,0.0,2020-06-14 19:27:34
95,Lebedinyy,RU,58.52,125.52,44.37,85,48,4.45,scattered clouds,0.0,0.0,2020-06-14 19:27:34
96,Fort Saint James,CA,54.43,-124.25,63.18,36,99,7.23,overcast clouds,0.0,0.0,2020-06-14 19:27:34
97,Saint George,US,37.1,-113.58,86.0,9,1,6.93,clear sky,0.0,0.0,2020-06-14 19:27:35
98,San Esteban,HN,15.2,-85.75,81.77,72,88,3.02,moderate rain,2.81,0.0,2020-06-14 19:27:35
99,Ust-Nera,RU,64.57,143.2,61.68,53,100,2.53,overcast clouds,0.0,0.0,2020-06-14 19:27:35
100,Tiksi,RU,71.69,128.87,34.75,91,100,3.56,light rain,0.57,0.0,2020-06-14 19:27:35
101,Barrow,US,71.29,-156.79,42.8,75,1,8.05,clear sky,0.0,0.0,2020-06-14 19:27:36
102,Nanortalik,GL,60.14,-45.24,38.55,78,10,24.76,clear sky,0.0,0.0,2020-06-14 19:27:36
103,Victoria,HK,22.29,114.16,82.0,78,62,5.99,light rain,0.29,0.0,2020-06-14 19:27:35
104,Fairbanks,US,64.84,-147.72,60.01,77,90,6.93,overcast clouds,0.0,0.0,2020-06-14 19:25:02
105,Tazovskiy,RU,67.47,78.7,43.72,68,100,27.2,overcast clouds,0.0,0.0,2020-06-14 19:27:37
106,Torbay,CA,47.67,-52.73,46.99,100,90,11.41,mist,1.95,0.0,2020-06-14 19:27:37
107,Bihoro,JP,43.82,144.1,60.01,77,94,1.99,overcast clouds,0.0,0.0,2020-06-14 19:27:37
108,Kango,GA,0.19,10.1,75.06,91,62,2.82,broken clouds,0.0,0.0,2020-06-14 19:27:38
109,Butaritari,KI,3.07,172.79,81.54,76,74,8.14,light rain,0.94,0.0,2020-06-14 19:27:38
110,Vaini,TO,-21.2,-175.2,71.6,73,20,12.75,few clouds,0.0,0.0,2020-06-14 19:27:38
111,Avarua,CK,-21.21,-159.78,69.8,56,75,4.7,broken clouds,0.0,0.0,2020-06-14 19:28:02
112,Bajil,YE,15.06,43.29,93.11,49,88,3.78,overcast clouds,0.0,0.0,2020-06-14 19:28:02
113,Cherskiy,RU,68.75,161.3,63.68,46,1,2.89,clear sky,0.0,0.0,2020-06-14 19:23:03
114,Yamada,JP,39.47,141.95,65.03,93,84,6.71,broken clouds,0.0,0.0,2020-06-14 19:28:03
115,Buchanan,LR,5.88,-10.05,78.8,94,75,4.47,broken clouds,0.0,0.0,2020-06-14 19:28:03
116,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,74,40,11.41,scattered clouds,0.0,0.0,2020-06-14 19:28:03
117,Chumikan,RU,54.72,135.31,37.69,95,95,4.16,overcast clouds,0.0,0.0,2020-06-14 19:28:04
118,Chokurdakh,RU,70.63,147.92,67.15,49,100,9.84,overcast clouds,0.0,0.0,2020-06-14 19:28:04
119,Lumeje,AO,-11.55,20.78,61.09,48,0,4.76,clear sky,0.0,0.0,2020-06-14 19:28:04
120,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,3.47,heavy intensity rain,6.3,0.0,2020-06-14 19:28:04
121,Severnyy-Kospashskiy,RU,59.09,57.8,48.83,91,37,3.33,scattered clouds,0.0,0.0,2020-06-14 19:28:05
122,Oktyabrskoye,RU,43.06,44.74,73.4,49,100,8.95,light rain,0.55,0.0,2020-06-14 19:28:05
123,Saint-Philippe,RE,-21.36,55.77,73.4,56,75,11.41,broken clouds,0.0,0.0,2020-06-14 19:28:05
124,Najran,SA,17.49,44.13,84.2,18,40,4.16,scattered clouds,0.0,0.0,2020-06-14 19:28:06
125,Bilibino,RU,68.05,166.44,58.77,62,100,2.21,overcast clouds,0.0,0.0,2020-06-14 19:28:06
126,Flinders,AU,-34.58,150.86,55.99,60,0,5.01,clear sky,0.0,0.0,2020-06-14 19:28:06
127,Mogocha,RU,53.73,119.77,44.55,89,14,1.63,few clouds,0.0,0.0,2020-06-14 19:28:06
128,Iroquois Falls,CA,48.77,-80.68,69.8,21,40,9.17,scattered clouds,0.0,0.0,2020-06-14 19:23:31
129,Springdale,US,36.19,-94.13,90.0,45,40,5.12,scattered clouds,0.0,0.0,2020-06-14 19:28:07
130,Urgut,UZ,39.4,67.24,77.0,36,0,9.17,clear sky,0.0,0.0,2020-06-14 19:28:07
131,Tucupita,VE,9.06,-62.05,84.81,75,98,5.86,moderate rain,1.66,0.0,2020-06-14 19:28:07
132,Saquarema,BR,-22.92,-42.51,73.4,83,90,10.29,light intensity drizzle,0.0,0.0,2020-06-14 19:28:08
133,Amapa,BR,1.0,-52.0,80.11,94,100,2.64,moderate rain,1.63,0.0,2020-06-14 19:28:08
134,Gannan,CN,47.91,123.5,58.41,75,100,11.83,overcast clouds,0.0,0.0,2020-06-14 19:28:08
135,Port Elizabeth,ZA,-33.92,25.57,60.8,51,0,6.93,clear sky,0.0,0.0,2020-06-14 19:28:08
136,Kargasok,RU,59.06,80.86,44.91,88,100,13.2,overcast clouds,0.0,0.0,2020-06-14 19:28:08
137,Laguna,US,38.42,-121.42,79.0,31,1,6.93,clear sky,0.0,0.0,2020-06-14 19:28:09
138,Pontian Kecil,MY,1.48,103.39,80.01,94,20,4.18,few clouds,0.0,0.0,2020-06-14 19:28:09
139,Jamestown,US,42.1,-79.24,66.99,34,1,9.17,clear sky,0.0,0.0,2020-06-14 19:28:09
140,Mragowo,PL,53.86,21.31,53.15,92,36,7.34,scattered clouds,0.0,0.0,2020-06-14 19:28:09
141,Aksu,CN,41.12,80.26,75.31,20,0,5.68,clear sky,0.0,0.0,2020-06-14 19:24:05
142,Carberry,CA,49.87,-99.36,77.0,44,75,23.04,broken clouds,0.0,0.0,2020-06-14 19:28:10
143,San Luis,AR,-33.3,-66.34,61.47,30,0,16.6,clear sky,0.0,0.0,2020-06-14 19:28:10
144,Kindu,CD,-2.95,25.95,74.34,61,100,1.39,overcast clouds,0.0,0.0,2020-06-14 19:28:10
145,Ribeira Grande,PT,38.52,-28.7,62.6,67,75,6.93,broken clouds,0.0,0.0,2020-06-14 19:28:11
146,Vila,PT,42.03,-8.16,57.99,83,100,5.99,overcast clouds,0.0,0.0,2020-06-14 19:28:11
147,Fare,PF,-16.7,-151.02,80.78,79,23,7.58,few clouds,0.0,0.0,2020-06-14 19:28:11
148,Antsohihy,MG,-14.88,47.99,73.26,53,97,12.19,overcast clouds,0.0,0.0,2020-06-14 19:28:11
149,Hirara,JP,24.8,125.28,83.21,82,0,12.3,clear sky,0.0,0.0,2020-06-14 19:24:45
150,Grindavik,IS,63.84,-22.43,48.2,100,90,24.16,light rain,0.0,0.0,2020-06-14 19:27:59
